CO_TAZID,SUBAREAID,CO_FIPS,CO_NAME,MedInc
350096.0,1.0,35.0,SALT LAKE,74154.0
350097.0,1.0,35.0,SALT LAKE,102500.0
350098.0,1.0,35.0,SALT LAKE,63750.0
350099.0,1.0,35.0,SALT LAKE,132250.0
350100.0,1.0,35.0,SALT LAKE,67500.0
350101.0,1.0,35.0,SALT LAKE,168889.0
350102.0,1.0,35.0,SALT LAKE,168889.0
350103.0,1.0,35.0,SALT LAKE,47188.0
350106.0,1.0,35.0,SALT LAKE,88403.0
350107.0,1.0,35.0,SALT LAKE,88403.0
350108.0,1.0,35.0,SALT LAKE,94658.0
